Frame Index,Inference Time (s),Device,Input Type
0,1.3316025734,cpu,image
1,0.2311894894,cpu,image
2,0.2071096897,cpu,image
3,0.1756870747,cpu,image
4,0.2061648369,cpu,image
5,0.1911556721,cpu,image
6,0.1753330231,cpu,image
7,0.1754820347,cpu,image
8,0.1762671471,cpu,image
9,0.1570503712,cpu,image
10,0.159375906,cpu,image
11,0.1592097282,cpu,image
12,0.1748976707,cpu,image
13,0.1901872158,cpu,image
14,0.1756923199,cpu,image
15,0.1757535934,cpu,image
16,0.1915693283,cpu,image
17,0.1915299892,cpu,image
18,0.1746268272,cpu,image
19,0.1746692657,cpu,image
20,0.1592333317,cpu,image
21,0.1743943691,cpu,image
22,0.1596775055,cpu,image
23,0.177062273,cpu,image
24,0.1878261566,cpu,image
25,0.174186945,cpu,image
26,0.17486763,cpu,image
27,0.1756927967,cpu,image
28,0.1744375229,cpu,image
29,0.1762111187,cpu,image
30,0.2068126202,cpu,image
31,0.1750385761,cpu,image
32,0.1743681431,cpu,image
33,0.175162077,cpu,image
34,0.159758091,cpu,image
35,0.1754622459,cpu,image
36,0.1749053001,cpu,image
37,0.1909043789,cpu,image
38,0.1597883701,cpu,image
39,0.1586871147,cpu,image
40,0.1753828526,cpu,image
41,0.1948497295,cpu,image
42,0.1682140827,cpu,image
43,0.2077353001,cpu,image
44,0.1787838936,cpu,image
45,0.1559584141,cpu,image
46,0.1591248512,cpu,image
47,0.1909863949,cpu,image
48,0.1602728367,cpu,image
49,0.1914863586,cpu,image
50,0.1908848286,cpu,image
51,0.1920380592,cpu,image
52,0.1758754253,cpu,image
53,0.1756081581,cpu,image
54,0.1748316288,cpu,image
55,0.1755816936,cpu,image
56,0.1923115253,cpu,image
57,0.1591899395,cpu,image
58,0.1923606396,cpu,image
59,0.1734001637,cpu,image
60,0.1758916378,cpu,image
61,0.1759483814,cpu,image
62,0.1751201153,cpu,image
63,0.1913166046,cpu,image
64,0.1914763451,cpu,image
65,0.154758215,cpu,image
66,0.1654536724,cpu,image
67,0.1758916378,cpu,image
68,0.1749739647,cpu,image
69,0.1425962448,cpu,image
70,0.1751372814,cpu,image
71,0.1759059429,cpu,image
72,0.158752203,cpu,image
73,0.1903603077,cpu,image
74,0.1752865314,cpu,image
75,0.1911811829,cpu,image
76,0.1918444633,cpu,image
77,0.1590263844,cpu,image
78,0.1916372776,cpu,image
79,0.1764011383,cpu,image
80,0.1594219208,cpu,image
81,0.1120588779,cpu,image
82,0.1751184464,cpu,image
83,0.1915163994,cpu,image
84,0.1752660275,cpu,image
85,0.1759200096,cpu,image
86,0.1751482487,cpu,image
87,0.1763734818,cpu,image
88,0.1914420128,cpu,image
89,0.1905362606,cpu,image
90,0.1747293472,cpu,image
