Frame Index,Inference Time (s),Device,Input Type
0,0.1615343094,cpu,video
1,0.1177453995,cpu,video
2,0.1170475483,cpu,video
3,0.1214876175,cpu,video
4,0.0884335041,cpu,video
5,0.138086319,cpu,video
6,0.1167271137,cpu,video
7,0.1070055962,cpu,video
8,0.1044948101,cpu,video
9,0.1097779274,cpu,video
10,0.1034016609,cpu,video
11,0.1047308445,cpu,video
12,0.0886750221,cpu,video
13,0.0923128128,cpu,video
14,0.0813763142,cpu,video
15,0.0732717514,cpu,video
16,0.0833075047,cpu,video
17,0.0899910927,cpu,video
18,0.0841350555,cpu,video
19,0.0768666267,cpu,video
20,0.0794248581,cpu,video
21,0.073130846,cpu,video
22,0.0778589249,cpu,video
23,0.074034214,cpu,video
24,0.0763120651,cpu,video
25,0.0749578476,cpu,video
26,0.0751552582,cpu,video
27,0.0796761513,cpu,video
28,0.0749607086,cpu,video
29,0.0812330246,cpu,video
30,0.0802066326,cpu,video
31,0.0812711716,cpu,video
32,0.0820264816,cpu,video
33,0.0822350979,cpu,video
34,0.0834724903,cpu,video
35,0.0879971981,cpu,video
36,0.0837950706,cpu,video
37,0.0922322273,cpu,video
38,0.1004207134,cpu,video
39,0.1097979546,cpu,video
40,0.09953022,cpu,video
41,0.1045777798,cpu,video
42,0.0927250385,cpu,video
43,0.0906426907,cpu,video
44,0.0913789272,cpu,video
45,0.0893361568,cpu,video
46,0.0989518166,cpu,video
47,0.0945436954,cpu,video
48,0.0894112587,cpu,video
49,0.0880832672,cpu,video
50,0.1026403904,cpu,video
51,0.11256814,cpu,video
52,0.1257801056,cpu,video
53,0.1290740967,cpu,video
54,0.1214394569,cpu,video
55,0.1475625038,cpu,video
56,0.1341159344,cpu,video
57,0.1334888935,cpu,video
58,0.1174516678,cpu,video
59,0.1172001362,cpu,video
60,0.1049411297,cpu,video
61,0.1027581692,cpu,video
62,0.1033957005,cpu,video
63,0.0994298458,cpu,video
64,0.0954413414,cpu,video
65,0.1059250832,cpu,video
66,0.0994889736,cpu,video
67,0.1004962921,cpu,video
68,0.0967764854,cpu,video
69,0.1048102379,cpu,video
70,0.1047956944,cpu,video
71,0.1080379486,cpu,video
72,0.0998594761,cpu,video
73,0.0996851921,cpu,video
74,0.0950512886,cpu,video
75,0.0938107967,cpu,video
76,0.0900821686,cpu,video
77,0.0952103138,cpu,video
78,0.093480587,cpu,video
79,0.0960114002,cpu,video
80,0.0929620266,cpu,video
81,0.0930728912,cpu,video
82,0.0985376835,cpu,video
83,0.0953748226,cpu,video
84,0.0960488319,cpu,video
85,0.090275526,cpu,video
86,0.0939455032,cpu,video
87,0.1140768528,cpu,video
88,0.0979866982,cpu,video
89,0.0970232487,cpu,video
90,0.0979521275,cpu,video
91,0.0931177139,cpu,video
92,0.0956468582,cpu,video
93,0.1157724857,cpu,video
94,0.11571455,cpu,video
95,0.1033494473,cpu,video
96,0.1018385887,cpu,video
97,0.0964920521,cpu,video
98,0.0999982357,cpu,video
99,0.1044671535,cpu,video
100,0.0974502563,cpu,video
101,0.1048462391,cpu,video
102,0.0986104012,cpu,video
103,0.103395462,cpu,video
