Frame Index,Inference Time (s),Device,Input Type
0,0.0,tpu,image
1,0.0089011192,tpu,image
2,0.0026369095,tpu,image
3,0.0019543171,tpu,image
4,0.0010621548,tpu,image
5,0.0,tpu,image
6,0.0055220127,tpu,image
7,0.0,tpu,image
8,0.0035560131,tpu,image
9,0.0010118484,tpu,image
10,0.0,tpu,image
11,0.0052251816,tpu,image
12,0.0023198128,tpu,image
13,0.0020172596,tpu,image
14,0.0019898415,tpu,image
15,0.0,tpu,image
16,0.0037622452,tpu,image
17,0.0020365715,tpu,image
18,0.0,tpu,image
19,0.0,tpu,image
20,0.0,tpu,image
21,0.0081706047,tpu,image
22,0.0,tpu,image
23,0.0,tpu,image
24,0.0,tpu,image
25,0.0081028938,tpu,image
26,0.0015060902,tpu,image
27,0.0,tpu,image
28,0.0,tpu,image
29,0.0,tpu,image
30,0.0,tpu,image
31,0.0,tpu,image
32,0.0100884438,tpu,image
33,0.0,tpu,image
34,0.0047857761,tpu,image
35,0.0020446777,tpu,image
36,0.0023663044,tpu,image
37,0.0019237995,tpu,image
38,0.0015423298,tpu,image
39,0.0020127296,tpu,image
40,0.0020000935,tpu,image
41,0.0019986629,tpu,image
42,0.0022783279,tpu,image
43,0.0020942688,tpu,image
44,0.0019965172,tpu,image
45,0.0022368431,tpu,image
46,0.0021111965,tpu,image
47,0.0016374588,tpu,image
48,0.0021288395,tpu,image
49,0.001994133,tpu,image
50,0.0028743744,tpu,image
51,0.0021255016,tpu,image
52,0.0,tpu,image
53,0.0,tpu,image
54,0.0,tpu,image
55,0.0,tpu,image
56,0.0097558498,tpu,image
57,0.0,tpu,image
58,0.0038740635,tpu,image
59,0.0,tpu,image
60,0.0,tpu,image
61,0.0062634945,tpu,image
62,0.0,tpu,image
63,0.0,tpu,image
64,0.0,tpu,image
65,0.0102002621,tpu,image
66,0.0,tpu,image
67,0.0,tpu,image
68,0.0,tpu,image
69,0.0,tpu,image
70,0.0096457005,tpu,image
71,0.0,tpu,image
72,0.0,tpu,image
73,0.0082352161,tpu,image
74,0.0021028519,tpu,image
75,0.0,tpu,image
76,0.0,tpu,image
77,0.0,tpu,image
78,0.0,tpu,image
79,0.0097203255,tpu,image
80,0.002166748,tpu,image
81,0.0027918816,tpu,image
82,0.0020275116,tpu,image
83,0.0019996166,tpu,image
84,0.0020496845,tpu,image
85,0.0024299622,tpu,image
86,0.0020239353,tpu,image
87,0.0019903183,tpu,image
88,0.0025107861,tpu,image
89,0.0010080338,tpu,image
90,0.0,tpu,image
91,0.0,tpu,image
92,0.0,tpu,image
93,0.008972168,tpu,image
94,0.0,tpu,image
95,0.0025265217,tpu,image
96,0.0,tpu,image
97,0.0040781498,tpu,image
98,0.0018627644,tpu,image
99,0.0025246143,tpu,image
100,0.0019752979,tpu,image
101,0.0019829273,tpu,image
102,0.0010411739,tpu,image
103,0.0009305477,tpu,image
104,0.0021953583,tpu,image
105,0.0,tpu,image
106,0.0,tpu,image
107,0.0,tpu,image
108,0.0,tpu,image
109,0.0100741386,tpu,image
110,0.0,tpu,image
111,0.0033178329,tpu,image
112,0.0022244453,tpu,image
113,0.0022168159,tpu,image
114,0.0010178089,tpu,image
115,0.001996994,tpu,image
116,0.0021071434,tpu,image
117,0.0,tpu,image
118,0.0,tpu,image
119,0.0,tpu,image
120,0.0072078705,tpu,image
121,0.0019378662,tpu,image
122,0.0,tpu,image
123,0.0,tpu,image
124,0.0,tpu,image
125,0.0076375008,tpu,image
126,0.0,tpu,image
127,0.0,tpu,image
128,0.0,tpu,image
129,0.0081212521,tpu,image
130,0.0022926331,tpu,image
131,0.0,tpu,image
132,0.0,tpu,image
133,0.0,tpu,image
134,0.0,tpu,image
135,0.0,tpu,image
136,0.009670496,tpu,image
137,0.0,tpu,image
138,0.0046608448,tpu,image
139,0.0025873184,tpu,image
140,0.001919508,tpu,image
141,0.0017819405,tpu,image
142,0.0020141602,tpu,image
143,0.001994133,tpu,image
144,0.0019891262,tpu,image
145,0.0020163059,tpu,image
146,0.0017311573,tpu,image
147,0.0023047924,tpu,image
148,0.0019843578,tpu,image
149,0.0021517277,tpu,image
150,0.0020632744,tpu,image
151,0.0015449524,tpu,image
152,0.0022747517,tpu,image
153,0.0019881725,tpu,image
154,0.0019857883,tpu,image
155,0.0030941963,tpu,image
156,0.0,tpu,image
157,0.0,tpu,image
