Frame Index,Inference Time (s),Device,Input Type
0,0.0040006638,tpu,video
1,0.0026443005,tpu,video
2,0.0029604435,tpu,video
3,0.0031273365,tpu,video
4,0.0030071735,tpu,video
5,0.0026590824,tpu,video
6,0.0025486946,tpu,video
7,0.0027666092,tpu,video
8,0.0021104813,tpu,video
9,0.0020415783,tpu,video
10,0.0024232864,tpu,video
11,0.0033390522,tpu,video
12,0.0020048618,tpu,video
13,0.0031552315,tpu,video
14,0.0030462742,tpu,video
15,0.0030097961,tpu,video
16,0.0029783249,tpu,video
17,0.0028657913,tpu,video
18,0.0033864975,tpu,video
19,0.0026040077,tpu,video
20,0.0030004978,tpu,video
21,0.0025177002,tpu,video
22,0.0020020008,tpu,video
23,0.0025970936,tpu,video
24,0.0020003319,tpu,video
25,0.0019898415,tpu,video
26,0.0,tpu,video
27,0.003018856,tpu,video
28,0.0020027161,tpu,video
29,0.0019888878,tpu,video
30,0.0030460358,tpu,video
31,0.0032262802,tpu,video
32,0.0020027161,tpu,video
33,0.0027947426,tpu,video
34,0.0029573441,tpu,video
35,0.0020246506,tpu,video
36,0.0026173592,tpu,video
37,0.0020060539,tpu,video
38,0.0023629665,tpu,video
39,0.0029959679,tpu,video
40,0.0020008087,tpu,video
41,0.0029966831,tpu,video
42,0.0029771328,tpu,video
43,0.0025162697,tpu,video
44,0.0019962788,tpu,video
45,0.0025260448,tpu,video
46,0.0028088093,tpu,video
47,0.0010061264,tpu,video
48,0.002259016,tpu,video
49,0.0025620461,tpu,video
50,0.0021598339,tpu,video
51,0.0030107498,tpu,video
52,0.0020170212,tpu,video
53,0.0021862984,tpu,video
54,0.0,tpu,video
55,0.0030138493,tpu,video
56,0.0024182796,tpu,video
57,0.0030031204,tpu,video
58,0.0025465488,tpu,video
59,0.0019958019,tpu,video
60,0.002519846,tpu,video
61,0.0019967556,tpu,video
62,0.0019936562,tpu,video
63,0.0029931068,tpu,video
64,0.002774477,tpu,video
65,0.0015683174,tpu,video
66,0.0019974709,tpu,video
67,0.0025100708,tpu,video
68,0.0020794868,tpu,video
69,0.0020010471,tpu,video
70,0.0020272732,tpu,video
71,0.0020906925,tpu,video
72,0.0028829575,tpu,video
73,0.0020353794,tpu,video
74,0.0029881001,tpu,video
75,0.0025808811,tpu,video
76,0.0019087791,tpu,video
77,0.0010080338,tpu,video
78,0.0033154488,tpu,video
79,0.0019102097,tpu,video
80,0.0028846264,tpu,video
81,0.0020265579,tpu,video
82,0.0024859905,tpu,video
83,0.0025293827,tpu,video
84,0.0020701885,tpu,video
85,0.0023326874,tpu,video
86,0.0030007362,tpu,video
87,0.0019760132,tpu,video
88,0.0021257401,tpu,video
89,0.001973629,tpu,video
90,0.0020251274,tpu,video
91,0.0028586388,tpu,video
92,0.0029087067,tpu,video
93,0.002525568,tpu,video
94,0.0023767948,tpu,video
95,0.00207901,tpu,video
96,0.0019304752,tpu,video
97,0.0030019283,tpu,video
98,0.0036327839,tpu,video
99,0.003000021,tpu,video
100,0.0021989346,tpu,video
101,0.0020160675,tpu,video
102,0.0021212101,tpu,video
103,0.0019967556,tpu,video
104,0.0019710064,tpu,video
105,0.0010099411,tpu,video
106,0.0019996166,tpu,video
107,0.0029680729,tpu,video
108,0.0022523403,tpu,video
109,0.0019788742,tpu,video
110,0.0020086765,tpu,video
111,0.0021021366,tpu,video
112,0.0031266212,tpu,video
113,0.0026185513,tpu,video
114,0.0029942989,tpu,video
115,0.0019972324,tpu,video
116,0.0019147396,tpu,video
117,0.0025367737,tpu,video
118,0.002982378,tpu,video
119,0.0020115376,tpu,video
120,0.0029985905,tpu,video
121,0.0030016899,tpu,video
122,0.0024876595,tpu,video
123,0.0025072098,tpu,video
124,0.0027854443,tpu,video
125,0.0029890537,tpu,video
126,0.0019879341,tpu,video
127,0.0023641586,tpu,video
128,0.0029861927,tpu,video
129,0.0020091534,tpu,video
130,0.0025858879,tpu,video
131,0.0029430389,tpu,video
132,0.0020046234,tpu,video
133,0.0021293163,tpu,video
134,0.0022015572,tpu,video
135,0.0028963089,tpu,video
136,0.0020122528,tpu,video
137,0.0028886795,tpu,video
138,0.0023202896,tpu,video
139,0.0028569698,tpu,video
140,0.0020005703,tpu,video
141,0.002017498,tpu,video
142,0.0021123886,tpu,video
143,0.002133131,tpu,video
144,0.0019652843,tpu,video
145,0.0019958019,tpu,video
146,0.0025904179,tpu,video
147,0.0029847622,tpu,video
148,0.0028162003,tpu,video
149,0.0033488274,tpu,video
150,0.0021348,tpu,video
151,0.0020003319,tpu,video
152,0.0030298233,tpu,video
153,0.0019507408,tpu,video
154,0.0029819012,tpu,video
155,0.0030121803,tpu,video
156,0.0029900074,tpu,video
157,0.0025446415,tpu,video
158,0.0020008087,tpu,video
159,0.0030784607,tpu,video
160,0.0028965473,tpu,video
161,0.0020122528,tpu,video
162,0.0022206306,tpu,video
163,0.0019285679,tpu,video
164,0.0021829605,tpu,video
165,0.0020067692,tpu,video
166,0.0019979477,tpu,video
167,0.0031368732,tpu,video
168,0.0029079914,tpu,video
169,0.0022990704,tpu,video
170,0.0018925667,tpu,video
171,0.00238204,tpu,video
172,0.0028336048,tpu,video
173,0.0030846596,tpu,video
174,0.0029389858,tpu,video
175,0.0020160675,tpu,video
176,0.0010464191,tpu,video
177,0.0029799938,tpu,video
178,0.0019860268,tpu,video
179,0.0019900799,tpu,video
180,0.0026755333,tpu,video
181,0.0020031929,tpu,video
182,0.0020074844,tpu,video
183,0.0029940605,tpu,video
184,0.0030133724,tpu,video
185,0.0019989014,tpu,video
186,0.0021691322,tpu,video
187,0.0025253296,tpu,video
188,0.0019841194,tpu,video
189,0.0025880337,tpu,video
190,0.0019829273,tpu,video
191,0.0029964447,tpu,video
192,0.0023105145,tpu,video
193,0.0029196739,tpu,video
194,0.0029523373,tpu,video
195,0.0029997826,tpu,video
196,0.0020895004,tpu,video
197,0.0019989014,tpu,video
198,0.0025188923,tpu,video
199,0.0019922256,tpu,video
200,0.0030879974,tpu,video
201,0.0018122196,tpu,video
202,0.0028254986,tpu,video
203,0.0030267239,tpu,video
204,0.0020194054,tpu,video
205,0.0030016899,tpu,video
206,0.0023069382,tpu,video
207,0.0027523041,tpu,video
208,0.0028953552,tpu,video
209,0.0024096966,tpu,video
210,0.0022609234,tpu,video
211,0.0015120506,tpu,video
212,0.0025975704,tpu,video
213,0.0019226074,tpu,video
214,0.002961874,tpu,video
215,0.0020129681,tpu,video
