Index,Start Time (s),End Time (s),Device,Input Type
0,3.6084225178,3.7676784992,cpu,image
1,3.7676784992,3.846735239,cpu,image
2,3.846735239,3.9104652405,cpu,image
3,3.9104652405,3.995095253,cpu,image
4,3.995095253,4.052656889,cpu,image
5,4.0688650608,4.1325380802,cpu,image
6,4.1325380802,4.1961956024,cpu,image
7,4.1961956024,4.2756769657,cpu,image
8,4.2756769657,4.3552584648,cpu,image
9,4.3552584648,4.4191632271,cpu,image
10,4.4191632271,4.4987769127,cpu,image
11,4.4987769127,4.5784022808,cpu,image
12,4.5784022808,4.6621541977,cpu,image
13,4.6621541977,4.7253730297,cpu,image
14,4.7253730297,4.8005135059,cpu,image
15,4.8005135059,4.8645253181,cpu,image
16,4.8645253181,4.9437749386,cpu,image
17,4.9437749386,5.0074319839,cpu,image
18,5.0074319839,5.0880277157,cpu,image
19,5.0880277157,5.1506054401,cpu,image
20,5.1506054401,5.2297646999,cpu,image
21,5.2297646999,5.292652607,cpu,image
22,5.292652607,5.3722810745,cpu,image
23,5.3722810745,5.4355380535,cpu,image
24,5.4355380535,5.5143682957,cpu,image
25,5.5143682957,5.5782382488,cpu,image
26,5.5782382488,5.6629076004,cpu,image
27,5.6629076004,5.737074852,cpu,image
28,5.737074852,5.8008928299,cpu,image
29,5.8008928299,5.8647909164,cpu,image
30,5.8647909164,5.9439125061,cpu,image
31,5.9439125061,6.0068387985,cpu,image
32,6.0068387985,6.0945606232,cpu,image
33,6.0965702534,6.1695394516,cpu,image
34,6.1695394516,6.2506244183,cpu,image
35,6.2506244183,6.3226246834,cpu,image
36,6.3226246834,6.3864450455,cpu,image
37,6.3864450455,6.4658432007,cpu,image
38,6.4658432007,6.5312473774,cpu,image
39,6.5312473774,6.6089007854,cpu,image
40,6.6089007854,6.6767344475,cpu,image
41,6.6767344475,6.7550041676,cpu,image
42,6.7550041676,6.8199458122,cpu,image
43,6.8199458122,6.884565115,cpu,image
44,6.884565115,6.9577386379,cpu,image
45,6.9577386379,7.0257351398,cpu,image
46,7.0257351398,7.0998737812,cpu,image
47,7.0998737812,7.1797008514,cpu,image
48,7.1797008514,7.2437355518,cpu,image
49,7.2437355518,7.3240394592,cpu,image
50,7.3240394592,7.3963780403,cpu,image
51,7.3963780403,7.4650206566,cpu,image
52,7.4650206566,7.5289731026,cpu,image
53,7.5289731026,7.6086530685,cpu,image
54,7.6086530685,7.6723444462,cpu,image
55,7.6723444462,7.7510271072,cpu,image
56,7.7510271072,7.8208925724,cpu,image
57,7.8208925724,7.8943178654,cpu,image
58,7.8943178654,7.9599282742,cpu,image
59,7.9599282742,8.0370693207,cpu,image
60,8.0370693207,8.1003594398,cpu,image
61,8.1003594398,8.1791996956,cpu,image
62,8.1791996956,8.2430047989,cpu,image
63,8.2588193417,8.3222079277,cpu,image
64,8.3222079277,8.4010803699,cpu,image
65,8.4010803699,8.4811837673,cpu,image
66,8.4811837673,8.5441601276,cpu,image
67,8.5441601276,8.6238806248,cpu,image
68,8.6238806248,8.6875846386,cpu,image
69,8.6875846386,8.7667512894,cpu,image
70,8.7667512894,8.8304502964,cpu,image
71,8.8304502964,8.8940374851,cpu,image
72,8.8940374851,8.9730906487,cpu,image
73,8.9730906487,9.0523581505,cpu,image
74,9.0523581505,9.1177802086,cpu,image
75,9.1177802086,9.193104744,cpu,image
76,9.193104744,9.2589287758,cpu,image
77,9.2589287758,9.3362934589,cpu,image
78,9.3362934589,9.3999228477,cpu,image
79,9.4156286716,9.4966433048,cpu,image
80,9.4971487522,9.5626208782,cpu,image
81,9.5626208782,9.6380932331,cpu,image
82,9.6380932331,9.7325372696,cpu,image
83,9.7325372696,9.7956914902,cpu,image
84,9.7956914902,9.8799231052,cpu,image
85,9.880428791,9.9397966862,cpu,image
86,9.9397966862,10.0068399906,cpu,image
87,10.0068399906,10.0834929943,cpu,image
88,10.0834929943,10.1601400375,cpu,image
89,10.1601400375,10.2220652103,cpu,image
90,10.2220652103,10.3017160892,cpu,image
91,10.3017160892,10.3694853783,cpu,image
92,10.3694853783,10.4451863766,cpu,image
93,10.4451863766,10.5080370903,cpu,image
94,10.5080370903,10.5871427059,cpu,image
95,10.5871427059,10.6504366398,cpu,image
96,10.6504366398,10.718047142,cpu,image
97,10.718047142,10.7965288162,cpu,image
98,10.7965288162,10.8563513756,cpu,image
99,10.8563513756,10.9372723103,cpu,image
100,10.9372723103,11.015550375,cpu,image
101,11.015550375,11.0789535046,cpu,image
102,11.0789535046,11.1656136513,cpu,image
103,11.1656136513,11.2217156887,cpu,image
104,11.2373719215,11.3005771637,cpu,image
105,11.3005771637,11.3633856773,cpu,image
106,11.3633856773,11.4438445568,cpu,image
107,11.4438445568,11.5060455799,cpu,image
108,11.5060455799,11.5852916241,cpu,image
109,11.5852916241,11.6641507149,cpu,image
110,11.6641507149,11.7493157387,cpu,image
111,11.7493157387,11.8068025112,cpu,image
112,11.8068025112,11.9022545815,cpu,image
113,11.9022545815,11.9659495354,cpu,image
114,11.9659495354,12.0332069397,cpu,image
115,12.0332069397,12.1082117558,cpu,image
116,12.1082117558,12.1718866825,cpu,image
117,12.1718866825,12.2543358803,cpu,image
118,12.2543358803,12.330637455,cpu,image
119,12.330637455,12.4102306366,cpu,image
120,12.4102306366,12.4733784199,cpu,image
121,12.4733784199,12.5367171764,cpu,image
122,12.5367171764,12.615885973,cpu,image
123,12.615885973,12.6948239803,cpu,image
124,12.6948239803,12.7585852146,cpu,image
125,12.7585852146,12.8414983749,cpu,image
126,12.8414983749,12.9011204243,cpu,image
127,12.9011204243,12.9803528786,cpu,image
128,12.9803528786,13.0441429615,cpu,image
129,13.0441429615,13.1077961922,cpu,image
130,13.1077961922,13.1882948875,cpu,image
131,13.1882948875,13.2526447773,cpu,image
132,13.2526447773,13.329795599,cpu,image
133,13.329795599,13.3928654194,cpu,image
134,13.3928654194,13.4567508698,cpu,image
135,13.4567508698,13.53632164,cpu,image
136,13.53632164,13.6018884182,cpu,image
137,13.6018884182,13.6628575325,cpu,image
138,13.6628575325,13.7421188354,cpu,image
139,13.7421188354,13.8226826191,cpu,image
140,13.8226826191,13.8850970268,cpu,image
141,13.8850970268,13.9677071571,cpu,image
142,13.9677071571,14.0269954205,cpu,image
143,14.0269954205,14.1059710979,cpu,image
144,14.1059710979,14.1852297783,cpu,image
145,14.1852297783,14.2644970417,cpu,image
146,14.2644970417,14.3357076645,cpu,image
147,14.3357076645,14.3920416832,cpu,image
148,14.3920416832,14.4859511852,cpu,image
149,14.4870798588,14.5504696369,cpu,image
150,14.5504696369,14.6139862537,cpu,image
151,14.6139862537,14.6935522556,cpu,image
152,14.6935522556,14.7765777111,cpu,image
153,14.7765777111,14.8364610672,cpu,image
154,14.8364610672,14.9156262875,cpu,image
155,14.9156262875,14.9788577557,cpu,image
156,14.9788577557,15.0578634739,cpu,image
157,15.0578634739,15.1209740639,cpu,image
158,15.1209740639,15.2009234428,cpu,image
159,15.2009234428,15.2719917297,cpu,image
160,15.2719917297,15.3490059376,cpu,image
161,15.3490059376,15.4108505249,cpu,image
162,15.4108505249,15.4856462479,cpu,image
163,15.4856462479,15.5492761135,cpu,image
164,15.5492761135,15.6301860809,cpu,image
165,15.6301860809,15.7110259533,cpu,image
166,15.7110259533,15.7891552448,cpu,image
167,15.7891552448,15.8578982353,cpu,image
168,15.8601455688,15.9151349068,cpu,image
169,15.9151349068,15.9952435493,cpu,image
170,15.9952435493,16.0589909554,cpu,image
171,16.0589909554,16.1385965347,cpu,image
172,16.1385965347,16.2023911476,cpu,image
173,16.2023911476,16.2823441029,cpu,image
174,16.2823441029,16.3456804752,cpu,image
175,16.3456804752,16.4249293804,cpu,image
176,16.4249293804,16.4883446693,cpu,image
177,16.4883446693,16.5677478313,cpu,image
178,16.5677478313,16.6313331127,cpu,image
179,16.6313331127,16.7110102177,cpu,image
180,16.7110102177,16.7748267651,cpu,image
181,16.7748267651,16.8598451614,cpu,image
182,16.8598451614,16.9182639122,cpu,image
183,16.9182639122,16.997756958,cpu,image
184,16.997756958,17.0774915218,cpu,image
185,17.0774915218,17.1632037163,cpu,image
186,17.1632037163,17.23833251,cpu,image
187,17.23833251,17.3006505966,cpu,image
188,17.3006505966,17.3798584938,cpu,image
189,17.3798584938,17.4430615902,cpu,image
190,17.4430615902,17.5217278004,cpu,image
191,21.6170117855,21.7104423046,cpu,image
192,21.7104423046,21.7894582748,cpu,image
193,21.7894582748,21.8693230152,cpu,image
194,21.8713393211,21.9333248138,cpu,image
195,21.9333248138,22.0124332905,cpu,image
196,22.0124332905,22.0756547451,cpu,image
197,22.0756547451,22.1544494629,cpu,image
198,22.1544494629,22.2185506821,cpu,image
199,22.2185506821,22.2995882034,cpu,image
200,22.2995882034,22.3655903339,cpu,image
201,22.3655903339,22.4424269199,cpu,image
202,22.4424269199,22.5039532185,cpu,image
203,22.5039532185,22.5838463306,cpu,image
204,22.5838463306,22.6643984318,cpu,image
205,22.6643984318,22.7272331715,cpu,image
206,22.7272331715,22.8043789864,cpu,image
207,22.8043789864,22.8821775913,cpu,image
208,22.8836834431,22.9570114613,cpu,image
209,22.9570114613,23.0303156376,cpu,image
210,23.0303156376,23.089566946,cpu,image
211,23.089566946,23.1767764091,cpu,image
212,23.1767764091,23.2387239933,cpu,image
213,23.2387239933,23.3161096573,cpu,image
214,23.3161096573,23.3933491707,cpu,image
215,23.3933491707,23.453561306,cpu,image
216,23.453561306,23.5319986343,cpu,image
217,23.5319986343,23.5952169895,cpu,image
218,23.5952169895,23.6587212086,cpu,image
219,23.6587212086,23.7379267216,cpu,image
220,23.7379267216,23.8014259338,cpu,image
221,23.8014259338,23.8810589314,cpu,image
222,23.8810589314,23.944760561,cpu,image
223,23.944760561,24.0400443077,cpu,image
224,24.0400443077,24.1032817364,cpu,image
225,24.1032817364,24.1718800068,cpu,image
226,24.1817369461,24.2448451519,cpu,image
227,24.2448451519,24.3081862926,cpu,image
228,24.3081862926,24.3933620453,cpu,image
229,24.3933620453,24.4687609673,cpu,image
230,24.4687609673,24.5424544811,cpu,image
231,24.5424544811,24.6113142967,cpu,image
232,24.6113142967,24.6730980873,cpu,image
233,24.6730980873,24.7373259068,cpu,image
234,24.7373259068,24.8183240891,cpu,image
235,24.8183240891,24.8955874443,cpu,image
236,24.8955874443,24.9591500759,cpu,image
237,24.9591500759,25.0374832153,cpu,image
238,25.0374832153,25.1007838249,cpu,image
239,25.1165201664,25.1842348576,cpu,image
240,25.1842348576,25.2559280396,cpu,image
241,25.2559280396,25.3252990246,cpu,image
242,25.3252990246,25.3859517574,cpu,image
243,25.3859517574,25.4652812481,cpu,image
244,25.4652812481,25.546400547,cpu,image
245,25.546400547,25.6248714924,cpu,image
246,25.6248714924,25.6883950233,cpu,image
247,25.6883950233,25.7562849522,cpu,image
248,25.7562849522,25.8315417767,cpu,image
249,25.8315417767,25.9102342129,cpu,image
250,25.9102342129,25.9796345234,cpu,image
251,25.9796345234,26.0537452698,cpu,image
252,26.0537452698,26.1171770096,cpu,image
253,26.1171770096,26.1982586384,cpu,image
254,26.1982586384,26.2656724453,cpu,image
255,26.2656724453,26.3390316963,cpu,image
256,26.3390316963,26.4183659554,cpu,image
257,26.4183659554,26.4810519218,cpu,image
258,26.4810519218,26.5442728996,cpu,image
259,26.5442728996,26.6233279705,cpu,image
260,26.6233279705,26.6871025562,cpu,image
261,26.7029006481,26.7736780643,cpu,image
262,26.7736780643,26.846259594,cpu,image
263,26.846259594,26.9093756676,cpu,image
264,26.9093756676,26.9730091095,cpu,image
265,26.9730091095,27.0526094437,cpu,image
266,27.0526094437,27.1162345409,cpu,image
267,27.1162345409,27.1954979897,cpu,image
268,27.1954979897,27.2748475075,cpu,image
269,27.2748475075,27.3380665779,cpu,image
270,27.3380665779,27.4015133381,cpu,image
271,27.4015133381,27.4800105095,cpu,image
272,27.4800105095,27.5427868366,cpu,image
273,27.5427868366,27.6217606068,cpu,image
274,27.6217606068,27.6853189468,cpu,image
275,27.6853189468,27.7530424595,cpu,image
276,27.7530424595,27.8287596703,cpu,image
277,27.8287596703,27.8951179981,cpu,image
278,27.8951179981,27.9635784626,cpu,image
279,27.9635784626,28.0354847908,cpu,image
280,28.0354847908,28.0987694263,cpu,image
281,28.0987694263,28.193680048,cpu,image
282,28.193680048,28.2672429085,cpu,image
283,28.2672429085,28.3370573521,cpu,image
284,28.3370573521,28.4013195038,cpu,image
285,28.4013195038,28.4798767567,cpu,image
286,28.4798767567,28.5472040176,cpu,image
287,28.5472040176,28.6217300892,cpu,image
288,28.6217300892,28.6852908134,cpu,image
289,28.6852908134,28.7486634254,cpu,image
290,28.7486634254,28.8321681023,cpu,image
291,28.8337132931,28.9084992409,cpu,image
292,28.9084992409,28.9728710651,cpu,image
293,28.9728710651,29.0530581474,cpu,image
294,29.0530581474,29.1329779625,cpu,image
295,29.1329779625,29.2116332054,cpu,image
296,29.2116332054,29.2790052891,cpu,image
297,29.2790052891,29.3547585011,cpu,image
298,29.3547585011,29.4181137085,cpu,image
299,29.4181137085,29.4972622395,cpu,image
300,29.4972622395,29.5608482361,cpu,image
301,29.5608482361,29.6888303757,cpu,image
302,29.6888303757,29.7710616589,cpu,image
303,29.7710616589,29.8506574631,cpu,image
304,29.8506574631,29.9320595264,cpu,image
305,29.9320595264,30.0072143078,cpu,image
306,30.0072143078,30.0710422993,cpu,image
307,30.0710422993,30.1344394684,cpu,image
308,30.1344394684,30.2137994766,cpu,image
309,30.2137994766,30.2932095528,cpu,image
310,30.2932095528,30.3725283146,cpu,image
311,30.3725283146,30.4555938244,cpu,image
312,30.4555938244,30.5210757256,cpu,image
313,30.5210757256,30.5940527916,cpu,image
314,30.5940527916,30.6573884487,cpu,image
315,30.6734087467,30.751926899,cpu,image
316,30.751926899,30.8333153725,cpu,image
317,30.8333153725,30.9018833637,cpu,image
318,30.9018833637,30.9807169437,cpu,image
319,30.9807169437,31.0479807854,cpu,image
320,31.0479807854,31.1169922352,cpu,image
321,31.1169922352,31.1859385967,cpu,image
322,31.1859385967,31.2591295242,cpu,image
323,31.2591295242,31.3382399082,cpu,image
324,31.3382399082,31.4017841816,cpu,image
325,31.4017841816,31.4655959606,cpu,image
326,31.4655959606,31.5478720665,cpu,image
327,31.5478720665,31.6084091663,cpu,image
328,31.6084091663,31.6753702164,cpu,image
329,31.6753702164,31.7351861,cpu,image
330,31.7351861,31.8626983166,cpu,image
331,31.8626983166,31.9479730129,cpu,image
332,31.9576339722,32.0293405056,cpu,image
333,32.0293405056,32.1012892723,cpu,image
334,32.1012892723,32.1653559208,cpu,image
335,32.1653559208,32.2332162857,cpu,image
336,32.2332162857,32.3102684021,cpu,image
337,32.3102684021,32.3929488659,cpu,image
338,32.3929488659,32.458509922,cpu,image
339,32.4681589603,32.531857729,cpu,image
340,32.531857729,32.5944597721,cpu,image
341,32.5944597721,32.6808624268,cpu,image
342,32.6808624268,32.7536518574,cpu,image
343,32.7536518574,32.8338527679,cpu,image
344,32.8338527679,32.8971307278,cpu,image
345,32.8971307278,32.97651124,cpu,image
346,32.97651124,33.0405123234,cpu,image
347,33.0405123234,33.1200606823,cpu,image
348,33.1200606823,33.1871860027,cpu,image
349,33.1871860027,33.262663126,cpu,image
350,33.262663126,33.3258523941,cpu,image
351,33.3258523941,33.4048810005,cpu,image
352,33.4048810005,33.4845187664,cpu,image
353,33.4845187664,33.5539150238,cpu,image
354,33.5539150238,33.6131122112,cpu,image
355,33.6131122112,33.6915419102,cpu,image
356,33.6915419102,33.7563040257,cpu,image
357,33.7563040257,33.833745718,cpu,image
358,33.833745718,33.946005106,cpu,image
359,33.946005106,34.0293345451,cpu,image
360,34.0293345451,34.1054763794,cpu,image
361,34.1054763794,34.1697964668,cpu,image
362,34.1697964668,34.2330844402,cpu,image
363,34.2330844402,34.3152163029,cpu,image
364,34.3152163029,34.3924772739,cpu,image
365,34.3924772739,34.5082719326,cpu,image
366,34.5082719326,34.583009243,cpu,image
367,34.583009243,34.6500911713,cpu,image
368,34.6500911713,34.7103559971,cpu,image
369,34.7103559971,34.7901885509,cpu,image
370,34.7901885509,34.8557157516,cpu,image
371,34.8557157516,34.9331564903,cpu,image
372,34.9331564903,34.9963064194,cpu,image
373,34.9963064194,35.075902462,cpu,image
374,35.075902462,35.1396417618,cpu,image
375,35.1396417618,35.2188706398,cpu,image
376,35.2188706398,35.2869665623,cpu,image
377,35.2898204327,35.3455312252,cpu,image
378,35.3455312252,35.4245846272,cpu,image
379,35.4245846272,35.4909992218,cpu,image
380,35.4909992218,35.5683774948,cpu,image
381,35.5683774948,35.6483337879,cpu,image
382,38.0991053581,38.1718139648,cpu,image
383,38.1718139648,38.2486097813,cpu,image
384,38.2486097813,38.3170199394,cpu,image
385,38.3170199394,38.3907136917,cpu,image
386,38.3907136917,38.4649143219,cpu,image
387,38.4649143219,38.5332956314,cpu,image
388,38.5332956314,38.6007320881,cpu,image
389,38.6007320881,38.6760325432,cpu,image
390,38.6760325432,38.7555963993,cpu,image
391,38.7555963993,38.835119009,cpu,image
392,38.835119009,38.8990056515,cpu,image
393,38.8990056515,38.9779000282,cpu,image
394,38.9779000282,39.0577507019,cpu,image
395,39.0577507019,39.121379137,cpu,image
396,39.121379137,39.200864315,cpu,image
397,39.200864315,39.2803006172,cpu,image
398,39.2803006172,39.3436670303,cpu,image
399,39.3436670303,39.4073295593,cpu,image
400,39.4073295593,39.4864919186,cpu,image
401,39.4864919186,39.5657532215,cpu,image
402,39.5657532215,39.6441721916,cpu,image
403,39.6441721916,39.7074241638,cpu,image
404,39.7074241638,39.7862555981,cpu,image
405,39.7862555981,39.8498396873,cpu,image
406,39.8498396873,39.9287614822,cpu,image
407,39.9287614822,39.992401123,cpu,image
408,39.992401123,40.0719015598,cpu,image
409,40.0719015598,40.135781765,cpu,image
410,40.135781765,40.1994156837,cpu,image
411,40.1994156837,40.2793402672,cpu,image
412,40.2793402672,40.3430936337,cpu,image
413,40.3430936337,40.4076578617,cpu,image
414,40.4076578617,40.5350878239,cpu,image
415,40.5350878239,40.614844799,cpu,image
416,40.614844799,40.6991374493,cpu,image
417,40.6991374493,40.7616066933,cpu,image
418,40.7616066933,40.8412392139,cpu,image
419,40.8412392139,40.89909482,cpu,image
420,40.89909482,40.9940423965,cpu,image
421,40.9940423965,41.0569498539,cpu,image
422,41.0569498539,41.136485815,cpu,image
423,41.136485815,41.2193393707,cpu,image
424,41.2193393707,41.2870528698,cpu,image
425,41.2870528698,41.4067504406,cpu,image
426,41.4067504406,41.4701404572,cpu,image
427,41.4701404572,41.5492463112,cpu,image
428,41.5492463112,41.6130523682,cpu,image
429,41.6130523682,41.6920311451,cpu,image
430,41.6920311451,41.7561261654,cpu,image
431,41.7719526291,41.8353238106,cpu,image
432,41.8353238106,41.8989486694,cpu,image
433,41.8989486694,41.9781262875,cpu,image
434,41.9781262875,42.041718483,cpu,image
435,42.041718483,42.1212687492,cpu,image
436,42.1212687492,42.1845753193,cpu,image
437,42.1845753193,42.2668206692,cpu,image
438,42.2668206692,42.3385150433,cpu,image
439,42.3385150433,42.4068109989,cpu,image
440,42.4068109989,42.4862034321,cpu,image
441,42.4862034321,42.5493831635,cpu,image
442,42.5493831635,42.61916399,cpu,image
443,42.61916399,42.6918020248,cpu,image
444,42.6918020248,42.7761304379,cpu,image
445,42.7761304379,42.8496127129,cpu,image
446,42.8496127129,42.9155402184,cpu,image
447,42.9155402184,42.9924654961,cpu,image
