Index,Start Time (s),End Time (s),Device,Input Type
0,0.5651006699,0.7266349792,cpu,video
1,0.73371315,0.8514585495,cpu,video
2,0.8655805588,0.9826281071,cpu,video
3,0.9963252544,1.1178128719,cpu,video
4,1.133056879,1.2214903831,cpu,video
5,1.2320666313,1.3701529503,cpu,video
6,1.3815627098,1.4982898235,cpu,video
7,1.5000276566,1.6070332527,cpu,video
8,1.6168344021,1.7213292122,cpu,video
9,1.7314887047,1.8412666321,cpu,video
10,1.8502621651,1.953663826,cpu,video
11,1.9667255878,2.0714564323,cpu,video
12,2.0825955868,2.1712706089,cpu,video
13,2.1789731979,2.2712860107,cpu,video
14,2.2817299366,2.3631062508,cpu,video
15,2.379196167,2.4524679184,cpu,video
16,2.4651255608,2.5484330654,cpu,video
17,2.5650165081,2.6550076008,cpu,video
18,2.6649873257,2.7491223812,cpu,video
19,2.7648646832,2.8417313099,cpu,video
20,2.8531589508,2.9325838089,cpu,video
21,2.9483997822,3.0215306282,cpu,video
22,3.0305347443,3.1083936691,cpu,video
23,3.1177084446,3.1917426586,cpu,video
24,3.2050497532,3.2813618183,cpu,video
25,3.2867779732,3.3617358208,cpu,video
26,3.3663470745,3.4415023327,cpu,video
27,3.4516341686,3.5313103199,cpu,video
28,3.5467541218,3.6217148304,cpu,video
29,3.6376340389,3.7188670635,cpu,video
30,3.7214689255,3.8016755581,cpu,video
31,3.8038618565,3.885133028,cpu,video
32,3.9014885426,3.9835150242,cpu,video
33,3.9996416569,4.0818767548,cpu,video
34,4.0980861187,4.181558609,cpu,video
35,4.1971700191,4.2851672173,cpu,video
36,4.3016107082,4.3854057789,cpu,video
37,4.4014639854,4.4936962128,cpu,video
38,4.4982292652,4.5986499786,cpu,video
39,4.6027786732,4.7125766277,cpu,video
40,4.7217411995,4.8212714195,cpu,video
41,4.8312542439,4.9358320236,cpu,video
42,4.9487185478,5.0414435863,cpu,video
43,5.0506577492,5.1413004398,cpu,video
44,5.150231123,5.2416100502,cpu,video
45,5.2521488667,5.3414850235,cpu,video
46,5.3525710106,5.4515228271,cpu,video
47,5.4669032097,5.5614469051,cpu,video
48,5.5819017887,5.6713130474,cpu,video
49,5.683318615,5.7714018822,cpu,video
50,5.7842593193,5.8868997097,cpu,video
51,5.8935685158,6.0061366558,cpu,video
52,6.0097241402,6.1355042458,cpu,video
53,6.1457176208,6.2747917175,cpu,video
54,6.2866735458,6.4081130028,cpu,video
55,6.4138982296,6.5614607334,cpu,video
56,6.5661687851,6.7002847195,cpu,video
57,6.7167901993,6.8502790928,cpu,video
58,6.8668410778,6.9842927456,cpu,video
59,6.9984781742,7.1156783104,cpu,video
60,7.128182888,7.2331240177,cpu,video
61,7.2489366531,7.3516948223,cpu,video
62,7.3559458256,7.459341526,cpu,video
63,7.4651646614,7.5645945072,cpu,video
64,7.5759646893,7.6714060307,cpu,video
65,7.6813411713,7.7872662544,cpu,video
66,7.7985622883,7.8980512619,cpu,video
67,7.9011898041,8.0016860962,cpu,video
68,8.0148086548,8.1115851402,cpu,video
69,8.116519928,8.2213301659,cpu,video
70,8.2316315174,8.3364272118,cpu,video
71,8.3435015678,8.4515395164,cpu,video
72,8.4648103714,8.5646698475,cpu,video
73,8.57609272,8.6757779121,cpu,video
74,8.6803467274,8.775398016,cpu,video
75,8.7820298672,8.8758406639,cpu,video
76,8.8830394745,8.9731216431,cpu,video
77,8.975990057,9.0712003708,cpu,video
78,9.075545311,9.169025898,cpu,video
79,9.18303442,9.2790458202,cpu,video
80,9.2826011181,9.3755631447,cpu,video
81,9.3781516552,9.4712245464,cpu,video
82,9.4742536545,9.572791338,cpu,video
83,9.577136755,9.6725115776,cpu,video
84,9.6754903793,9.7715392113,cpu,video
85,9.78125,9.871525526,cpu,video
86,9.8813340664,9.9752795696,cpu,video
87,9.9772810936,10.0913579464,cpu,video
88,10.0984911919,10.19647789,cpu,video
89,10.199442625,10.2964658737,cpu,video
90,10.3097455502,10.4076976776,cpu,video
91,10.4159612656,10.5090789795,cpu,video
92,10.5135846138,10.609231472,cpu,video
93,10.6176738739,10.7334463596,cpu,video
94,10.7513751984,10.8670897484,cpu,video
95,10.8813006878,10.984650135,cpu,video
96,10.9931912422,11.0950298309,cpu,video
97,11.0979971886,11.1944892406,cpu,video
98,11.1998319626,11.2998301983,cpu,video
99,11.3083870411,11.4128541946,cpu,video
100,11.4157664776,11.5132167339,cpu,video
101,11.5166418552,11.6214880943,cpu,video
102,11.6300444603,11.7286548615,cpu,video
103,11.7438504696,11.8472459316,cpu,video
104,11.851442337,11.9612469673,cpu,video
105,11.9767107964,12.0865941048,cpu,video
106,12.0911228657,12.1913998127,cpu,video
107,12.1994571686,12.2912073135,cpu,video
108,12.2979073524,12.4037976265,cpu,video
109,12.4160041809,12.5224573612,cpu,video
110,12.5311975479,12.6415605545,cpu,video
111,12.6480019093,12.7574915886,cpu,video
112,12.7650225163,12.8714931011,cpu,video
113,12.8822324276,12.9831058979,cpu,video
114,12.9966444969,13.1065630913,cpu,video
115,13.1113650799,13.2113194466,cpu,video
116,13.2164525986,13.3097171783,cpu,video
117,13.3149240017,13.4331991673,cpu,video
118,13.4493954182,13.5514411926,cpu,video
119,13.5574557781,13.6712727547,cpu,video
120,13.6813724041,13.7826297283,cpu,video
121,13.7990586758,13.9115636349,cpu,video
122,13.9146203995,14.0113005638,cpu,video
123,14.022778511,14.1317539215,cpu,video
124,14.1471414566,14.251768589,cpu,video
125,14.2655541897,14.3613269329,cpu,video
126,14.3645393848,14.454611063,cpu,video
127,14.4645018578,14.5542495251,cpu,video
128,14.5645961761,14.6613330841,cpu,video
129,14.6646578312,14.7613492012,cpu,video
130,14.7655222416,14.8609023094,cpu,video
131,14.8816623688,14.9714033604,cpu,video
132,14.9826977253,15.0714085102,cpu,video
133,15.0812432766,15.1743302345,cpu,video
134,15.1769990921,15.2684311867,cpu,video
135,15.276478529,15.3677036762,cpu,video
136,15.382945776,15.4712712765,cpu,video
137,15.4816021919,15.5671055317,cpu,video
138,15.5812296867,15.6713774204,cpu,video
139,15.6840960979,15.7872638702,cpu,video
140,15.7978310585,15.9012291431,cpu,video
141,15.9141366482,16.0112321377,cpu,video
142,16.0266900063,16.1271612644,cpu,video
143,16.135961771,16.2414662838,cpu,video
144,16.2492587566,16.3541996479,cpu,video
145,16.3665950298,16.4715411663,cpu,video
146,16.4813847542,16.5838599205,cpu,video
147,16.5988268852,16.701571703,cpu,video
148,16.7144808769,16.8263366222,cpu,video
149,16.8321802616,16.9415740967,cpu,video
150,16.9476604462,17.0515477657,cpu,video
151,17.0657930374,17.1813871861,cpu,video
152,17.1942987442,17.3061211109,cpu,video
153,17.3215019703,17.4350166321,cpu,video
154,17.4466607571,17.5984306335,cpu,video
155,17.6044886112,17.7274475098,cpu,video
156,17.7436249256,17.8550739288,cpu,video
157,17.8712923527,17.9716989994,cpu,video
158,17.9838423729,18.0952131748,cpu,video
159,18.111985445,18.2214331627,cpu,video
160,18.2314729691,18.3416919708,cpu,video
161,18.3662045002,18.4713544846,cpu,video
162,18.4812505245,18.5913443565,cpu,video
163,18.5963935852,18.7113337517,cpu,video
164,18.7155394554,18.8415386677,cpu,video
165,18.8626439571,18.9991910458,cpu,video
166,19.0061297417,19.1459231377,cpu,video
167,19.1615130901,19.3114848137,cpu,video
168,19.3268725872,19.5173742771,cpu,video
169,19.5214066505,19.681861639,cpu,video
170,19.6986932755,19.8465468884,cpu,video
171,19.8625538349,20.0013542175,cpu,video
172,20.0271661282,20.1668491364,cpu,video
173,20.171653986,20.3114078045,cpu,video
174,20.3162102699,20.4566323757,cpu,video
175,20.4764995575,20.6320397854,cpu,video
176,20.6471250057,20.9143428802,cpu,video
177,20.9215648174,21.2974336147,cpu,video
178,21.299800396,21.5656397343,cpu,video
179,21.5796666145,21.7979705334,cpu,video
180,21.801504612,22.0012776852,cpu,video
181,22.0114674568,22.161636591,cpu,video
182,22.1654250622,22.3246738911,cpu,video
183,22.3357601166,22.7741966248,cpu,video
184,22.7852637768,23.0672709942,cpu,video
185,23.0832872391,23.2613620758,cpu,video
186,23.2814426422,23.5165441036,cpu,video
187,23.5358526707,23.7956449986,cpu,video
188,23.8089969158,23.9826507568,cpu,video
189,23.9977087975,24.1643137932,cpu,video
190,24.1683328152,24.3360600471,cpu,video
191,24.3422312737,24.5154852867,cpu,video
192,24.5177397728,24.6856296062,cpu,video
193,24.6988294125,24.835136652,cpu,video
194,24.8490531445,24.9813826084,cpu,video
195,24.9865465164,25.1216833591,cpu,video
196,25.1256990433,25.2612740993,cpu,video
197,25.2662827969,25.3913676739,cpu,video
198,25.4075510502,25.5213158131,cpu,video
199,25.5329782963,25.6500885487,cpu,video
200,25.6593801975,25.7713823318,cpu,video
201,25.7778863907,25.9012601376,cpu,video
202,25.915346384,26.0312218666,cpu,video
203,26.0407907963,26.1412742138,cpu,video
204,26.1484153271,26.2650702,cpu,video
205,26.2824211121,26.38743186,cpu,video
206,26.3963758945,26.5215358734,cpu,video
207,26.532668829,26.6352629662,cpu,video
208,26.6394648552,26.7392868996,cpu,video
209,26.7483837605,26.8523008823,cpu,video
210,26.8585269451,26.9615945816,cpu,video
211,26.9751541615,27.0754609108,cpu,video
212,27.0911524296,27.1913707256,cpu,video
213,27.1984779835,27.3037037849,cpu,video
214,27.3178286552,27.4401898384,cpu,video
215,27.4444074631,27.5762681961,cpu,video
