Index,Start Time (s),End Time (s),Device,Input Type
0,10.9407973289,10.9407973289,tpu,image
1,10.9407973289,10.9407973289,tpu,image
2,10.9407973289,10.9407973289,tpu,image
3,10.9407973289,10.9407973289,tpu,image
4,10.9407973289,10.9566147327,tpu,image
5,10.9566147327,10.9566147327,tpu,image
6,10.9566147327,10.9566147327,tpu,image
7,10.9566147327,10.9566147327,tpu,image
8,10.9566147327,10.9566147327,tpu,image
9,10.9566147327,10.9725663662,tpu,image
10,10.9725663662,10.9725663662,tpu,image
11,10.9725663662,10.9725663662,tpu,image
12,10.9725663662,10.9725663662,tpu,image
13,10.9725663662,10.9725663662,tpu,image
14,10.9725663662,10.9883995056,tpu,image
15,10.9883995056,10.9883995056,tpu,image
16,10.9883995056,10.9883995056,tpu,image
17,10.9883995056,10.99772048,tpu,image
18,10.99772048,10.99772048,tpu,image
19,10.99772048,11.0043959618,tpu,image
20,11.0043959618,11.0043959618,tpu,image
21,11.0043959618,11.0043959618,tpu,image
22,11.0043959618,11.0043959618,tpu,image
23,11.0043959618,11.0043959618,tpu,image
24,11.0043959618,11.0043959618,tpu,image
25,11.0043959618,11.020280838,tpu,image
26,11.020280838,11.020280838,tpu,image
27,11.020280838,11.020280838,tpu,image
28,11.020280838,11.020280838,tpu,image
29,11.020280838,11.020280838,tpu,image
30,11.020280838,11.0361392498,tpu,image
31,11.0361392498,11.0361392498,tpu,image
32,11.0361392498,11.0361392498,tpu,image
33,11.0361392498,11.0361392498,tpu,image
34,11.0361392498,11.0361392498,tpu,image
35,11.0361392498,11.0519270897,tpu,image
36,11.0519270897,11.0519270897,tpu,image
37,11.0519270897,11.0519270897,tpu,image
38,11.0519270897,11.0519270897,tpu,image
39,11.0519270897,11.0519270897,tpu,image
40,11.0519270897,11.0519270897,tpu,image
41,11.0519270897,11.0681006908,tpu,image
42,11.0681006908,11.0681006908,tpu,image
43,11.0681006908,11.0681006908,tpu,image
44,11.0681006908,11.0681006908,tpu,image
45,11.0681006908,11.0681006908,tpu,image
46,11.0681006908,11.0681006908,tpu,image
47,11.0839829445,11.0839829445,tpu,image
48,11.0839829445,11.0839829445,tpu,image
49,11.0839829445,11.0839829445,tpu,image
50,11.0839829445,11.0839829445,tpu,image
51,11.0839829445,11.0980637074,tpu,image
52,11.0999596119,11.0999596119,tpu,image
53,11.0999596119,11.0999596119,tpu,image
54,11.0999596119,11.0999596119,tpu,image
55,11.0999596119,11.0999596119,tpu,image
