Index,Start Time (s),End Time (s),Device,Input Type
0,0.1549143791,0.1589150429,tpu,video
1,0.1706078053,0.1732521057,tpu,video
2,0.1863732338,0.1893336773,tpu,video
3,0.2036311626,0.2067584991,tpu,video
4,0.2189006805,0.2219078541,tpu,video
5,0.2344324589,0.2370915413,tpu,video
6,0.2508306503,0.2533793449,tpu,video
7,0.2649600506,0.2677266598,tpu,video
8,0.2810533047,0.2831637859,tpu,video
9,0.2971625328,0.2992041111,tpu,video
10,0.3026604652,0.3050837517,tpu,video
11,0.3184285164,0.3217675686,tpu,video
12,0.3350770473,0.3370819092,tpu,video
13,0.3496456146,0.3528008461,tpu,video
14,0.3651521206,0.3681983948,tpu,video
15,0.3786866665,0.3816964626,tpu,video
16,0.3945398331,0.397518158,tpu,video
17,0.4088487625,0.4117145538,tpu,video
18,0.4245097637,0.4278962612,tpu,video
19,0.4405660629,0.4431700706,tpu,video
20,0.4552721977,0.4582726955,tpu,video
21,0.4707825184,0.4733002186,tpu,video
22,0.4868221283,0.4888241291,tpu,video
23,0.5029964447,0.5055935383,tpu,video
24,0.5180699825,0.5200703144,tpu,video
25,0.5337104797,0.5357003212,tpu,video
26,0.5498723984,0.5498723984,tpu,video
27,0.5620398521,0.5650587082,tpu,video
28,0.5782499313,0.5802526474,tpu,video
29,0.5947647095,0.5967535973,tpu,video
30,0.6084766388,0.6115226746,tpu,video
31,0.6240093708,0.627235651,tpu,video
32,0.6444237232,0.6464264393,tpu,video
33,0.6587440968,0.6615388393,tpu,video
34,0.6741733551,0.6771306992,tpu,video
35,0.6893200874,0.691344738,tpu,video
36,0.7103385925,0.7129559517,tpu,video
37,0.7259762287,0.7279822826,tpu,video
38,0.741607666,0.7439706326,tpu,video
39,0.7572209835,0.7602169514,tpu,video
40,0.77328372,0.7752845287,tpu,video
41,0.7888519764,0.7918486595,tpu,video
42,0.804923296,0.8079004288,tpu,video
43,0.820132494,0.8226487637,tpu,video
44,0.8371739388,0.8391702175,tpu,video
45,0.8510820866,0.8536081314,tpu,video
46,0.8666083813,0.8694171906,tpu,video
47,0.8803052902,0.8813114166,tpu,video
48,0.8948028088,0.8970618248,tpu,video
49,0.9106326103,0.9131946564,tpu,video
50,0.9255795479,0.9277393818,tpu,video
51,0.9407906532,0.943801403,tpu,video
52,0.9562029839,0.958220005,tpu,video
53,0.9716303349,0.9738166332,tpu,video
54,0.9788122177,0.9788122177,tpu,video
55,0.9939484596,0.9969623089,tpu,video
56,1.0105881691,1.0130064487,tpu,video
57,1.0247004032,1.0277035236,tpu,video
58,1.040138483,1.0426850319,tpu,video
59,1.0570623875,1.0590581894,tpu,video
60,1.0726191998,1.0751390457,tpu,video
61,1.0887117386,1.0907084942,tpu,video
62,1.1045396328,1.106533289,tpu,video
63,1.1189744473,1.1219675541,tpu,video
64,1.1346330643,1.1374075413,tpu,video
65,1.1497592926,1.15132761,tpu,video
66,1.1649692059,1.1669666767,tpu,video
67,1.1811447144,1.1836547852,tpu,video
68,1.1977987289,1.1998782158,tpu,video
69,1.213142395,1.2151434422,tpu,video
70,1.2289187908,1.230946064,tpu,video
71,1.2439510822,1.2460417747,tpu,video
72,1.2549777031,1.2578606606,tpu,video
73,1.2706093788,1.2726447582,tpu,video
74,1.2859230042,1.2889111042,tpu,video
75,1.3011915684,1.3037724495,tpu,video
76,1.3178365231,1.3197453022,tpu,video
77,1.3287231922,1.329731226,tpu,video
78,1.3429250717,1.3462405205,tpu,video
79,1.3582062721,1.3601164818,tpu,video
80,1.3743379116,1.377222538,tpu,video
81,1.3796157837,1.3816423416,tpu,video
82,1.3940265179,1.3965125084,tpu,video
83,1.410264492,1.4127938747,tpu,video
84,1.4272668362,1.4293370247,tpu,video
85,1.4426670074,1.4449996948,tpu,video
86,1.4579825401,1.4609832764,tpu,video
87,1.4739563465,1.4759323597,tpu,video
88,1.4926302433,1.4947559834,tpu,video
89,1.508546114,1.510519743,tpu,video
90,1.5241687298,1.5261938572,tpu,video
91,1.5399067402,1.542765379,tpu,video
92,1.5552406311,1.5581493378,tpu,video
93,1.5711524487,1.5736780167,tpu,video
94,1.5868377686,1.5892145634,tpu,video
95,1.6029305458,1.6050095558,tpu,video
96,1.6191236973,1.6210541725,tpu,video
97,1.6347928047,1.637794733,tpu,video
98,1.6498258114,1.6534585953,tpu,video
99,1.6656689644,1.6686689854,tpu,video
100,1.6817240715,1.6839230061,tpu,video
101,1.6971833706,1.6991994381,tpu,video
102,1.7126774788,1.7147986889,tpu,video
103,1.7282562256,1.7302529812,tpu,video
104,1.7449769974,1.7469480038,tpu,video
105,1.7603123188,1.7613222599,tpu,video
106,1.7754530907,1.7774527073,tpu,video
107,1.7900183201,1.792986393,tpu,video
108,1.8103859425,1.8126382828,tpu,video
109,1.8262975216,1.8282763958,tpu,video
110,1.8426558971,1.8446645737,tpu,video
111,1.8575172424,1.859619379,tpu,video
112,1.872699976,1.8758265972,tpu,video
113,1.8884301186,1.8910486698,tpu,video
114,1.9037294388,1.9067237377,tpu,video
115,1.9192707539,1.9212679863,tpu,video
116,1.935025692,1.9369404316,tpu,video
117,1.9510493279,1.9535861015,tpu,video
118,1.9662322998,1.9692146778,tpu,video
119,1.9791727066,1.9811842442,tpu,video
120,1.9939358234,1.9969344139,tpu,video
121,2.008916378,2.0119180679,tpu,video
122,2.0246362686,2.0271239281,tpu,video
123,2.0401482582,2.042655468,tpu,video
124,2.0557146072,2.0585000515,tpu,video
125,2.0710558891,2.0740449429,tpu,video
126,2.087066412,2.0890543461,tpu,video
127,2.1019482613,2.1043124199,tpu,video
128,2.1177005768,2.1206867695,tpu,video
129,2.1334242821,2.1354334354,tpu,video
130,2.1491546631,2.151740551,tpu,video
131,2.1643304825,2.1672735214,tpu,video
132,2.1797027588,2.1817073822,tpu,video
133,2.1967375278,2.1988668442,tpu,video
134,2.2122192383,2.2144207954,tpu,video
135,2.2270820141,2.229978323,tpu,video
136,2.2433233261,2.2453355789,tpu,video
137,2.2584011555,2.261289835,tpu,video
138,2.274433136,2.2767534256,tpu,video
139,2.2901837826,2.2930407524,tpu,video
140,2.306229353,2.3082299232,tpu,video
141,2.3207395077,2.3227570057,tpu,video
142,2.3364551067,2.3385674953,tpu,video
143,2.3526339531,2.3547670841,tpu,video
144,2.3687553406,2.3707206249,tpu,video
145,2.3857944012,2.3877902031,tpu,video
146,2.4000115395,2.4026019573,tpu,video
147,2.4159445763,2.4189293385,tpu,video
148,2.4315180779,2.4343342781,tpu,video
149,2.4466326237,2.449981451,tpu,video
150,2.4625434875,2.4646782875,tpu,video
151,2.4789116383,2.4809119701,tpu,video
152,2.4932579994,2.4962878227,tpu,video
153,2.5100381374,2.5119888783,tpu,video
154,2.5241103172,2.5270922184,tpu,video
155,2.5396542549,2.5426664352,tpu,video
156,2.5552511215,2.5582411289,tpu,video
157,2.5707783699,2.5733230114,tpu,video
158,2.5868473053,2.588848114,tpu,video
159,2.6027669907,2.6058454514,tpu,video
160,2.6181325912,2.6210291386,tpu,video
161,2.6348516941,2.6368639469,tpu,video
162,2.6489331722,2.6511538029,tpu,video
163,2.6657977104,2.6677262783,tpu,video
164,2.6769096851,2.6790926456,tpu,video
165,2.6929810047,2.6949877739,tpu,video
166,2.707818985,2.7098169327,tpu,video
167,2.7228813171,2.7260181904,tpu,video
168,2.7382662296,2.741174221,tpu,video
169,2.7513287067,2.7536277771,tpu,video
170,2.7671954632,2.7690880299,tpu,video
171,2.7833676338,2.7857496738,tpu,video
172,2.7984144688,2.8012480736,tpu,video
